"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","445-2525-1-ND","PS1240P02BT","BUZZER PIEZO 3V 12.2MM TH","","2","0","0.57000","1.14"
"2","10","1276-6456-1-ND","CL21A106KPFNNNG","CAP CER 10UF 10V X5R 0805","","10","0","0.05800","0.58"
"3","10","1276-1066-1-ND","CL21B105KAFNNNE","CAP CER 1UF 25V X7R 0805","","10","0","0.04900","0.49"
"4","10","1276-1003-1-ND","CL21B104KBCNNNC","CAP CER 0.1UF 50V X7R 0805","","10","0","0.03800","0.38"
"5","10","311-10.0KHRCT-ND","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","","10","0","0.02400","0.24"
"6","10","311-5.10KHRCT-ND","RC0603FR-075K1L","RES 5.1K OHM 1% 1/10W 0603","","10","0","0.02400","0.24"
"7","1","DS3231M+TRLCT-ND","DS3231M+TRL","IC RTC CLK/CALENDAR I2C 16SOIC","","1","0","13.09000","13.09"
"8","10","NCP1117LPST33T3GOSCT-ND","NCP1117LPST33T3G","IC REG LINEAR 3.3V 1A SOT-223","","10","0","0.26200","2.62"
"9","2","1965-ESP32-S3-WROOM-1-N4CT-ND","ESP32-S3-WROOM-1-N4","RF TXRX MODULE BT PCB TRACE SMD","","2","0","5.21000","10.42"
"10","4","296-50511-1-ND","TVS1400DRVR","UNIDIR  PRECISION SURGE DIODE","","4","0","1.03000","4.12"

